event_id,event_type,customer_id,event_ts,amount,currency,payment_method,status,location,merchant_name,category,fraud_scenario,alert_type,risk_points,fraud_probability,alert_hour
TX01107,transactions,C158,2026-08-12T10:03:16.000Z,5587.0,USD,CARD,SUCCESS,San Francisco,Swift San Francisco,TRANSFER,high_value,HIGH_VALUE_ANOMALY,25,0.9859026670455933,2026-08-12T10:00:00.000Z
TX01098,transactions,C088,2026-08-12T10:22:19.000Z,5410.0,GBP,CARD,SUCCESS,Manchester,Horizon London,FASHION,login_transaction,LOGIN_TRANSACTION_CORRELATION,20,0.9924374222755432,2026-08-12T10:00:00.000Z
TX01077,transactions,C023,2026-08-12T10:42:18.000Z,10458.0,EUR,CARD,SUCCESS,Hong Kong,Swift London,PHARMACY,impossible_travel,IMPOSSIBLE_TRAVEL,30,0.998045802116394,2026-08-12T10:00:00.000Z
PAY00403,payments,C095,2026-08-12T11:02:32.000Z,408.0,INR,CARD,FAILED,,Global Delhi,FASHION,payment_attack,CARD_TESTING_ATTACK,30,0.9891996383666992,2026-08-12T11:00:00.000Z
PAY00404,payments,C095,2026-08-12T11:02:33.000Z,659.0,INR,CARD,FAILED,,Aurora Chennai,UTILITY,payment_attack,CARD_TESTING_ATTACK,30,0.999650239944458,2026-08-12T11:00:00.000Z
PAY00406,payments,C095,2026-08-12T11:02:35.000Z,1286.0,INR,CARD,FAILED,,Quantum Paris,DIGITAL,payment_attack,CARD_TESTING_ATTACK,30,0.9998319149017334,2026-08-12T11:00:00.000Z
PAY00407,payments,C095,2026-08-12T11:02:36.000Z,284.0,INR,WALLET,FAILED,,Metro Kolkata,DIGITAL,payment_attack,CARD_TESTING_ATTACK,30,0.999842643737793,2026-08-12T11:00:00.000Z
PAY00410,payments,C095,2026-08-12T11:02:39.000Z,1136.0,INR,UPI,FAILED,,Aurora Bangalore,PHARMACY,payment_attack,CARD_TESTING_ATTACK,30,0.9998136162757874,2026-08-12T11:00:00.000Z
PAY00405,payments,C095,2026-08-12T11:02:40.000Z,1313.0,INR,CARD,FAILED,,Aurora Hong Kong,UTILITY,payment_attack,CARD_TESTING_ATTACK,30,0.9998319149017334,2026-08-12T11:00:00.000Z
PAY00412,payments,C095,2026-08-12T11:02:41.000Z,727.0,INR,UPI,FAILED,,Swift Hyderabad,GROCERY,payment_attack,CARD_TESTING_ATTACK,30,0.999842643737793,2026-08-12T11:00:00.000Z
PAY00408,payments,C095,2026-08-12T11:02:42.000Z,250.0,INR,WALLET,FAILED,,Swift Hyderabad,GROCERY,payment_attack,CARD_TESTING_ATTACK,30,0.9998168349266052,2026-08-12T11:00:00.000Z
PAY00413,payments,C095,2026-08-12T11:02:42.000Z,851.0,INR,WALLET,FAILED,,Summit Chennai,FUEL,payment_attack,CARD_TESTING_ATTACK,30,0.9998213648796082,2026-08-12T11:00:00.000Z
PAY00409,payments,C095,2026-08-12T11:02:56.000Z,982.0,INR,CARD,FAILED,,Peak Mumbai,UTILITY,payment_attack,CARD_TESTING_ATTACK,30,0.9998440742492676,2026-08-12T11:00:00.000Z
PAY00411,payments,C095,2026-08-12T11:03:04.000Z,1438.0,INR,UPI,FAILED,,Vertex Hong Kong,ELECTRONICS,payment_attack,CARD_TESTING_ATTACK,30,0.9998071789741516,2026-08-12T11:00:00.000Z
PAY00506,payments,C073,2026-08-12T11:03:19.000Z,96.0,EUR,CARD,FAILED,,Peak Mumbai,UTILITY,payment_attack,CARD_TESTING_ATTACK,30,0.9926292896270752,2026-08-12T11:00:00.000Z
PAY00508,payments,C073,2026-08-12T11:03:21.000Z,54.0,EUR,UPI,FAILED,,Horizon Paris,DIGITAL,payment_attack,CARD_TESTING_ATTACK,30,0.9994990825653076,2026-08-12T11:00:00.000Z
PAY00507,payments,C073,2026-08-12T11:03:23.000Z,75.0,EUR,UPI,FAILED,,Quantum Paris,DIGITAL,payment_attack,CARD_TESTING_ATTACK,30,0.999842643737793,2026-08-12T11:00:00.000Z
PAY00510,payments,C073,2026-08-12T11:03:23.000Z,85.0,EUR,UPI,FAILED,,Swift London,PHARMACY,payment_attack,CARD_TESTING_ATTACK,30,0.999842643737793,2026-08-12T11:00:00.000Z
PAY00511,payments,C073,2026-08-12T11:03:24.000Z,28.0,EUR,UPI,FAILED,,Prime Manchester,UTILITY,payment_attack,CARD_TESTING_ATTACK,30,0.999842643737793,2026-08-12T11:00:00.000Z
PAY00509,payments,C073,2026-08-12T11:03:28.000Z,70.0,EUR,CARD,FAILED,,Horizon Paris,DIGITAL,payment_attack,CARD_TESTING_ATTACK,30,0.9998403787612915,2026-08-12T11:00:00.000Z
PAY00516,payments,C073,2026-08-12T11:03:29.000Z,124.0,EUR,CARD,FAILED,,Horizon Paris,DIGITAL,payment_attack,CARD_TESTING_ATTACK,30,0.9998403787612915,2026-08-12T11:00:00.000Z
